Are you planning to vote in 2019 presidential election?,Who will be your first choice according to the situation as at today?,Who will be your second choice according to the situation as at today?,Who will be your third choice according to the situation as at today?,Which issue will matter the most when deciding you vote?,Who was your choice in 2015 presidential election?,"In local government election, which party was your choice?",What is your Education level?,How many registered voters in your family?,Will they follow your choice?,Select your Average Monthly income category,What is your Ethnicity?,What is your Religion?
Yes,Sajith Premadasa (UNF),Not Decided,Anura Kumara Disanayake (NPP),Ethnic issues,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,2,No,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,2,May be,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),National Security,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,May be,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,Anura Kumara Disanayake (NPP),National Security,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,2,Yes,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,5,No,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Anura Kumara Disanayake (NPP),Ethnic issues,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,6,No,Refused to answer,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,3,No,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),Anura Kumara Disanayake (NPP),National Security,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,4,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Corruption,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Advanced Level,3,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,Anura Kumara Disanayake (NPP),Corruption,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,5,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,Yes,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Corruption,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,4,No,Refused to answer,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,No,Refused to answer,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Corruption,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,3,No,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,5,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Corruption,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,5,No,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,2,No,Refused to answer,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,4,Yes,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Advanced Level,5,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,2,Yes,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),National Security,Maithreepala Sirisena,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,May be,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,4,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,2,Yes,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),None,Anura Kumara Disanayake (NPP),Employment Opportunities,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,May be,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Anura Kumara Disanayake (NPP),Ethnic issues,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Advanced Level,6,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Anura Kumara Disanayake (NPP),Development deficiency,Mahinda Rajapakse,United National Party (UNP),Post Graduate,2,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),None,Anura Kumara Disanayake (NPP),National Security,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Anura Kumara Disanayake (NPP),Ethnic issues,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,3,No,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Anura Kumara Disanayake (NPP),Corruption,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,6,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,3,No,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,4,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,5,May be,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,2,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),None,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,4,No,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Sajith Premadasa (UNF),Not Decided,Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,Not Decided,Corruption,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,2,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Not Decided,National Security,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,4,No,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),None,Not Decided,Corruption,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,3,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Not Decided,National Security,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,3,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),Not Decided,Corruption,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Advanced Level,1,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),Not Decided,Progress of the Country,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,3,May be,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Not Decided,Development deficiency,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,1,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Not Decided,Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Sajith Premadasa (UNF),None,Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,May be,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,National Security,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,2,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,None,National Security,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,No,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,Progress of the Country,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,2,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,None,National Security,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,4,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,5,Yes,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,None,Corruption,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,5,May be,Refused to answer,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,Development deficiency,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,5,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Gotabhaya Rajapakse (SLPP),Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,2,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Not Decided,Corruption,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,6,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Not Decided,Progress of the Country,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,2,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Not Decided,Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,3,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Not Decided,Progress of the Country,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,Yes,Refused to answer,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Not Decided,Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,4,Yes,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Not Decided,Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,May be,Refused to answer,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Not Decided,Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,1,No,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,4,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,4,Yes,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Corruption,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),Corruption,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Advanced Level,3,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Anura Kumara Disanayake (NPP),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,2,May be,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Gotabhaya Rajapakse (SLPP),Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,2,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Gotabhaya Rajapakse (SLPP),Corruption,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,5,No,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),Gotabhaya Rajapakse (SLPP),Progress of the Country,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Up to grade 5,4,No,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Development deficiency,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,4,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,5,Yes,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),None,Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Passed GCE Advanced Level,4,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),None,Development deficiency,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,4,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,Progress of the Country,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,4,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,4,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,None,Corruption,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,Yes,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Corruption,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,2,No,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Development deficiency,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,5,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),None,National Security,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,3,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),None,National Security,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,6,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),None,Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Passed GCE Advanced Level,1,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),None,None,Ethnic issues,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,1,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,None,Corruption,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,6,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,Corruption,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,National Security,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,National Security,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,3,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Passed GCE Advanced Level,4,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,National Security,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,1,Yes,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,None,National Security,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,3,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Corruption,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,4,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Corruption,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,No,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Development deficiency,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,3,May be,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),None,Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,1,No,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),None,Employment Opportunities,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,4,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Corruption,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,5,Yes,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),None,Progress of the Country,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,Yes,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Corruption,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,1,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),National Security,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,6,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Corruption,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,5,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Sajith Premadasa (UNF),Progress of the Country,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,2,Yes,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,Sajith Premadasa (UNF),Corruption,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,5,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,Sajith Premadasa (UNF),Corruption,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,3,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,Sajith Premadasa (UNF),Corruption,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Advanced Level,5,Yes,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),None,Sajith Premadasa (UNF),Progress of the Country,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,4,No,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),None,Sajith Premadasa (UNF),Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Passed GCE Advanced Level,4,Yes,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Sajith Premadasa (UNF),Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,Yes,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Corruption,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Advanced Level,2,May be,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),National Security,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,6,No,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Development deficiency,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,3,No,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Progress of the Country,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,6,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Passed GCE Advanced Level,3,May be,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Up to grade 5,3,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Sajith Premadasa (UNF),National Security,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,1,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Not Decided,Sajith Premadasa (UNF),Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,No,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Mahesh Senarathna (NPM),National Security,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),Mahesh Senarathna (NPM),Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,3,Yes,Below 50000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),Mahesh Senarathna (NPM),National Security,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,4,Yes,Below 50000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Mahesh Senarathna (NPM),Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,3,No,50000 - 100000,Sinhala,Buddhist
